material_query,record_index,book,page,data_class,k_source,requested_wl_min_um,requested_wl_max_um,record_id,record_label,material_class,final_family,final_specific_model,final_model_name,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_source_all_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target,best_available_RMS,best_available_N,best_available_family
GaSb,1,GaSb,Adachi,tabulated_nk,database,0.3,1.1,GaSb|GaSb|Adachi|1,GaSb / GaSb / Adachi / rec1,semiconductor,CP,SemiCP,SCP_M3,3.0,0.0769515214848408,1.917321637402464,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaSb_GaSb_Adachi/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/GaSb_GaSb_Adachi/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0769515214848408,3.0,CP
MoS2,1,MoS2,Beal,tabulated_nk,database,0.3,1.1,MoS2|MoS2|Beal|1,MoS2 / MoS2 / Beal / rec1,chalcogenide_or_2D,CP,AnalyticalCP,CP_M5,5.0,0.0756669701625952,2.225668208779474,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Beal/CP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/MoS2_MoS2_Beal/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0756669701625952,5.0,CP
Au,17,Au,Yakubovsky-4nm,tabulated_nk,database,0.3,1.1,Au|Au|Yakubovsky-4nm|17,Au / Au / Yakubovsky-4nm / rec17,metal,CP,SemiCP,SCP_M5,5.0,0.0640063860199064,0.9562775920183116,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Yakubovsky-4nm/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/Au_Au_Yakubovsky-4nm/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0640063860199064,5.0,CP
V,3,V,Johnson,tabulated_nk,database,0.3,1.1,V|V|Johnson|3,V / V / Johnson / rec3,metal,CP,SemiCP,SCP_M5,5.0,0.0551959967815854,1.1774762195101236,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/V_V_Johnson/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/V_V_Johnson/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0551959967815854,5.0,CP
GaAs,1,GaAs,Adachi,tabulated_nk,database,0.3,1.1,GaAs|GaAs|Adachi|1,GaAs / GaAs / Adachi / rec1,semiconductor,CP,AnalyticalCP,CP_M5,5.0,0.0531661189502353,1.263105705373806,1.0000000423440232,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaAs_GaAs_Adachi/CP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/GaAs_GaAs_Adachi/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0531661189502353,5.0,CP
ZnO,1,ZnO,Querry,tabulated_nk,database,0.3,1.1,ZnO|ZnO|Querry|1,ZnO / ZnO / Querry / rec1,TCO_or_semiconducting_oxide,CP,SemiCP,SCP_M3,3.0,0.044675797087864,0.109039247993731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/ZnO_ZnO_Querry/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,rough_<=0.05,False,False,0.044675797087864,3.0,CP
Au,8,Au,Rakic-BB,tabulated_nk,database,0.3,1.1,Au|Au|Rakic-BB|8,Au / Au / Rakic-BB / rec8,metal,CP,SemiCP,SCP_M3,3.0,0.043997452367803,0.4024939197355863,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Rakic-BB/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/Au_Au_Rakic-BB/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,rough_<=0.05,False,False,0.043997452367803,3.0,CP
MoS2,2,MoS2,Islam-1L,tabulated_nk,database,0.3,1.1,MoS2|MoS2|Islam-1L|2,MoS2 / MoS2 / Islam-1L / rec2,chalcogenide_or_2D,CP,AnalyticalCP,CP_M5,5.0,0.0431228221058281,0.5226987614451292,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Islam-1L/CP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/MoS2_MoS2_Islam-1L/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,rough_<=0.05,False,False,0.0431228221058281,5.0,CP
Au,18,Au,Yakubovsky-6nm,tabulated_nk,database,0.3,1.1,Au|Au|Yakubovsky-6nm|18,Au / Au / Yakubovsky-6nm / rec18,metal,CP,SemiCP,SCP_M5,5.0,0.0421730276709207,0.3893351582903484,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Yakubovsky-6nm/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/Au_Au_Yakubovsky-6nm/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,rough_<=0.05,False,False,0.0421730276709207,5.0,CP
W,4,W,Rakic-BB,tabulated_nk,database,0.3,1.1,W|W|Rakic-BB|4,W / W / Rakic-BB / rec4,metal,CP,SemiCP,SCP_M3,3.0,0.0416432761358639,0.8000245367778828,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/W_W_Rakic-BB/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/W_W_Rakic-BB/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,rough_<=0.05,False,False,0.0416432761358639,3.0,CP
