record_key,material,record,selected_N,selected_family,selected_model,FDTD_status,has_raw_experiment,has_fitting_grid,has_model_curve,n_raw_paths_in_record,n_fit_grid_paths_in_record,n_curve_paths_in_record,n_fallback_curve_files,fallback_curve_files
Ag_Ag_Johnson,Ag,Johnson,,,,,True,True,True,1,1,16,16,data/model_curves/Ag_Ag_Johnson/CP_M1.json;data/model_curves/Ag_Ag_Johnson/CP_M1_A.json;data/model_curves/Ag_Ag_Johnson/CP_M1_B.json;data/model_curves/Ag_Ag_Johnson/CP_M2.json;data/model_curves/Ag_Ag_Johnson/CP_M2_A.json;data/model_curves/Ag_Ag_Johnson/CP_M2_B.json;data/model_curves/Ag_Ag_Johnson/CP_M3.json;data/model_curves/Ag_Ag_Johnson/CP_M3_A.json;data/model_curves/Ag_Ag_Johnson/CP_M3_B.json;data/model_curves/Ag_Ag_Johnson/CP_M4.json;data/model_curves/Ag_Ag_Johnson/CP_M4_A.json;data/model_curves/Ag_Ag_Johnson/CP_M4_B.json;data/model_curves/Ag_Ag_Johnson/CP_M5.json;data/model_curves/Ag_Ag_Johnson/CP_M5_A.json;data/model_curves/Ag_Ag_Johnson/RP_M2.json;data/model_curves/Ag_Ag_Johnson/RP_M3.json
Ag_Ag_McPeak,Ag,McPeak,,,,,True,True,False,1,1,0,0,
Ag_Ag_Rakic-BB,Ag,Rakic-BB,,,,,True,True,True,1,1,18,18,data/model_curves/Ag_Ag_Rakic-BB/CP_M1.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M1_A.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M1_B.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M2.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M2_A.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M2_B.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M3.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M3_A.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M3_B.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M4.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M4_A.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M4_B.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M5.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M5_A.json;data/model_curves/Ag_Ag_Rakic-BB/CP_M5_B.json;data/model_curves/Ag_Ag_Rakic-BB/RP_M1.json;data/model_curves/Ag_Ag_Rakic-BB/RP_M3.json;data/model_curves/Ag_Ag_Rakic-BB/RP_M5.json
Ag_Ag_Rakic-LD,Ag,Rakic-LD,,,,,True,True,False,1,1,0,0,
Ag_Ag_Werner-DFT,Ag,Werner-DFT,,,,,True,True,True,1,1,16,16,data/model_curves/Ag_Ag_Werner-DFT/CP_M1.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M1_A.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M1_B.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M2.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M2_A.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M2_B.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M3.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M3_A.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M3_B.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M4.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M4_A.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M4_B.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M5.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M5_A.json;data/model_curves/Ag_Ag_Werner-DFT/CP_M5_B.json;data/model_curves/Ag_Ag_Werner-DFT/RP_M5.json
Ag_Ag_Werner,Ag,Werner,,,,,True,True,True,1,1,17,17,data/model_curves/Ag_Ag_Werner/CP_M1.json;data/model_curves/Ag_Ag_Werner/CP_M1_A.json;data/model_curves/Ag_Ag_Werner/CP_M1_B.json;data/model_curves/Ag_Ag_Werner/CP_M2.json;data/model_curves/Ag_Ag_Werner/CP_M2_A.json;data/model_curves/Ag_Ag_Werner/CP_M2_B.json;data/model_curves/Ag_Ag_Werner/CP_M3.json;data/model_curves/Ag_Ag_Werner/CP_M3_A.json;data/model_curves/Ag_Ag_Werner/CP_M3_B.json;data/model_curves/Ag_Ag_Werner/CP_M4.json;data/model_curves/Ag_Ag_Werner/CP_M4_A.json;data/model_curves/Ag_Ag_Werner/CP_M4_B.json;data/model_curves/Ag_Ag_Werner/CP_M5.json;data/model_curves/Ag_Ag_Werner/CP_M5_A.json;data/model_curves/Ag_Ag_Werner/CP_M5_B.json;data/model_curves/Ag_Ag_Werner/RP_M1.json;data/model_curves/Ag_Ag_Werner/RP_M5.json
Ag_Ag_Yang,Ag,Yang,,,,,True,True,True,1,1,17,17,data/model_curves/Ag_Ag_Yang/CP_M1.json;data/model_curves/Ag_Ag_Yang/CP_M1_A.json;data/model_curves/Ag_Ag_Yang/CP_M1_B.json;data/model_curves/Ag_Ag_Yang/CP_M2.json;data/model_curves/Ag_Ag_Yang/CP_M2_A.json;data/model_curves/Ag_Ag_Yang/CP_M2_B.json;data/model_curves/Ag_Ag_Yang/CP_M3.json;data/model_curves/Ag_Ag_Yang/CP_M3_A.json;data/model_curves/Ag_Ag_Yang/CP_M3_B.json;data/model_curves/Ag_Ag_Yang/CP_M4.json;data/model_curves/Ag_Ag_Yang/CP_M4_A.json;data/model_curves/Ag_Ag_Yang/CP_M4_B.json;data/model_curves/Ag_Ag_Yang/CP_M5.json;data/model_curves/Ag_Ag_Yang/CP_M5_A.json;data/model_curves/Ag_Ag_Yang/CP_M5_B.json;data/model_curves/Ag_Ag_Yang/RP_M4.json;data/model_curves/Ag_Ag_Yang/RP_M5.json
Al2O3_Al2O3_Boidin,Al2O3,Boidin,,,,,True,True,False,1,1,0,0,
Al2O3_Al2O3_Franta,Al2O3,Franta,,,,,True,True,True,1,1,17,17,data/model_curves/Al2O3_Al2O3_Franta/CP_M1.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M1_A.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M1_B.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M2.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M2_A.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M2_B.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M3.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M3_A.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M3_B.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M4.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M4_A.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M4_B.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M5.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M5_A.json;data/model_curves/Al2O3_Al2O3_Franta/CP_M5_B.json;data/model_curves/Al2O3_Al2O3_Franta/RP_M1.json;data/model_curves/Al2O3_Al2O3_Franta/RP_M2.json
Al2O3_Al2O3_Querry-e,Al2O3,Querry-e,,,,,True,True,True,1,1,15,15,data/model_curves/Al2O3_Al2O3_Querry-e/CP_M1.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M1_A.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M1_B.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M2.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M2_B.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M3.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M3_A.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M3_B.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M4.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M4_A.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M4_B.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M5.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M5_A.json;data/model_curves/Al2O3_Al2O3_Querry-e/CP_M5_B.json;data/model_curves/Al2O3_Al2O3_Querry-e/RP_M1.json
Al2O3_Al2O3_Querry-o,Al2O3,Querry-o,,,,,True,True,True,1,1,15,15,data/model_curves/Al2O3_Al2O3_Querry-o/CP_M1.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M1_A.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M2.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M2_A.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M2_B.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M3.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M3_A.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M3_B.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M4.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M4_A.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M4_B.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M5.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M5_A.json;data/model_curves/Al2O3_Al2O3_Querry-o/CP_M5_B.json;data/model_curves/Al2O3_Al2O3_Querry-o/RP_M1.json
Al2O3_Al2O3_Querry,Al2O3,Querry,,,,,True,True,False,1,1,0,0,
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,Rodriguez de Marcos,,,,,True,True,True,1,1,18,18,data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M1.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M1_A.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M1_B.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M2.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M2_A.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M2_B.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M3.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M3_A.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M3_B.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M4.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M4_A.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M4_B.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M5.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M5_A.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/CP_M5_B.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/RP_M1.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/RP_M4.json;data/model_curves/Al2O3_Al2O3_Rodriguez_de_Marcos/RP_M5.json
