record_key,material,material_class,book,page,N,family,specific_model,epsilon_rms,absolute_rms,G_rho,FDTD_status,quality_label,model_json
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,2.0,CP,SemiCP,0.0031583728942603,0.0094683604238208,1.0000000000000009,FDTD_READY,excellent,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M2.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,2.0,CP,SemiCP,0.0035127389482023,0.0108193286639542,1.000000000000001,FDTD_READY,excellent,data/models/Al2O3_Al2O3_Querry-o/SemiCP_M2.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,1.0,CP,SemiCP,0.0009541971918973,0.0026395470125526,1.0,FDTD_READY,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M1.json
Al2O3_Al2O3_Zhukovsky,Al2O3,transparent_dielectric_oxide,Al2O3,Zhukovsky,1.0,CP,SemiCP,1.9431042932392536e-05,5.180385311919448e-05,1.0,FDTD_READY,excellent,data/models/Al2O3_Al2O3_Zhukovsky/SemiCP_M1.json
AlAs_AlAs_Rakic,AlAs,semiconductor,AlAs,Rakic,4.0,CP,CP,0.0057368586851068,0.0967198735349403,1.0000003228202363,FDTD_READY,acceptable,data/models/AlAs_AlAs_Rakic/CP_M4.json
AlN_AlN_Beliaev1,AlN,nitride_or_carbide,AlN,Beliaev1,1.0,CP,SemiCP,0.0005997300635804,0.0026415567914927,1.000000079549636,FDTD_READY,excellent,data/models/AlN_AlN_Beliaev1/SemiCP_M1.json
As2S3_As2S3_Slavich-abinitio-alpha,As2S3,chalcogenide_or_2D,As2S3,Slavich-abinitio-alpha,5.0,CP,SemiCP,0.003159263292805,0.0200160440300516,1.000000000000001,FDTD_READY,excellent,data/models/As2S3_As2S3_Slavich-abinitio-alpha/SemiCP_M5.json
As2S3_As2S3_Slavich-abinitio-beta,As2S3,chalcogenide_or_2D,As2S3,Slavich-abinitio-beta,5.0,CP,SemiCP,0.0035979860906328,0.0399024473737764,1.0000000000000004,FDTD_READY,excellent,
As2S3_As2S3_Slavich-abinitio-gamma,As2S3,chalcogenide_or_2D,As2S3,Slavich-abinitio-gamma,4.0,CP,SemiCP,0.003028757260441,0.0447490405877752,1.0,FDTD_READY,excellent,data/models/As2S3_As2S3_Slavich-abinitio-gamma/SemiCP_M4.json
As2S3_As2S3_Synowicki,As2S3,chalcogenide_or_2D,As2S3,Synowicki,3.0,CP,CP,0.0019118889499631,0.0157767638823644,1.0,FDTD_READY,excellent,data/models/As2S3_As2S3_Synowicki/CP_M3.json
As2Se3_As2Se3_Joseph-400nm,As2Se3,chalcogenide_or_2D,As2Se3,Joseph-400nm,3.0,CP,SemiCP,0.028813863488475,0.3253130711463287,1.0,FDTD_READY,warning,data/models/As2Se3_As2Se3_Joseph-400nm/SemiCP_M3.json
As2Se3_As2Se3_Joseph-700nm,As2Se3,chalcogenide_or_2D,As2Se3,Joseph-700nm,2.0,CP,SemiCP,0.4729176857157428,38.06531722345866,1.0000000000000016,FDTD_READY,poor,data/models/As2Se3_As2Se3_Joseph-700nm/SemiCP_M2.json
Au_Au_Babar,Au,metal,Au,Babar,4.0,CP,SemiCP,0.007489863539836,0.0466934926369356,1.0,FDTD_READY,acceptable,
Au_Au_Ciesielski,Au,metal,Au,Ciesielski,4.0,CP,SemiCP,0.0016316256229314,0.0434226776359495,1.000000000000001,FDTD_READY,excellent,data/models/Au_Au_Ciesielski/SemiCP_M4.json
Au_Au_Ciesielski-Ge,Au,metal,Au,Ciesielski-Ge,4.0,CP,SemiCP,0.0010325657948689,0.0301085659356703,1.0000000000000016,FDTD_READY,excellent,data/models/Au_Au_Ciesielski-Ge/SemiCP_M4.json
Au_Au_Hagemann,Au,metal,Au,Hagemann,5.0,CP,SemiCP,0.0119937962419519,0.1238722879785589,1.000000000000001,FDTD_READY,warning,
Au_Au_Johnson,Au,metal,Au,Johnson,5.0,CP,CP,0.0276491722584691,0.5106435381880639,1.000000000000001,FDTD_READY,warning,data/models/Au_Au_Johnson/CP_M5.json
Au_Au_Magnozzi-225C,Au,metal,Au,Magnozzi-225C,4.0,CP,SemiCP,0.0039316220742721,0.0847614756449443,1.0000000000000004,FDTD_READY,excellent,
Au_Au_Magnozzi-25C,Au,metal,Au,Magnozzi-25C,4.0,CP,SemiCP,0.0039314038117389,0.0669731694551487,1.000000000000001,FDTD_READY,excellent,data/models/Au_Au_Magnozzi-25C/SemiCP_M4.json
Au_Au_Magnozzi-350C,Au,metal,Au,Magnozzi-350C,4.0,CP,SemiCP,0.0041014939409566,0.1032308703714175,1.0000000000000004,FDTD_READY,excellent,data/models/Au_Au_Magnozzi-350C/SemiCP_M4.json
Au_Au_McPeak,Au,metal,Au,McPeak,5.0,CP,SemiCP,0.0016816665960043,0.0491570666141138,1.0,FDTD_READY,excellent,
Au_Au_Olmon-ev,Au,metal,Au,Olmon-ev,4.0,CP,SemiCP,0.0015245983428957,0.0221909796968077,1.0000000000000004,FDTD_READY,excellent,data/models/Au_Au_Olmon-ev/SemiCP_M4.json
Au_Au_Olmon-sc,Au,metal,Au,Olmon-sc,4.0,CP,SemiCP,0.0017313262513336,0.0274108595453726,1.0000000000000004,FDTD_READY,excellent,
