record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
Cu_Cu_Johnson,Cu,Cu,Johnson,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0118362669421891,0.1816765792522619,1.0000000000000004,data/models/Cu_Cu_Johnson/CP_M5_B.json,data/model_curves/Cu_Cu_Johnson/CP_M5_B.json,lowest_RMS_no_primary_target,
Cu_Cu_McPeak,Cu,Cu,McPeak,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.014402524145543,0.1956323341265868,1.0000000000000016,data/models/Cu_Cu_McPeak/CP_M3_B.json,data/model_curves/Cu_Cu_McPeak/CP_M3_B.json,lowest_RMS_no_primary_target,
Cu_Cu_Querry,Cu,Cu,Querry,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0032147949938299,0.0826117772419507,1.0,data/models/Cu_Cu_Querry/CP_M4_B.json,data/model_curves/Cu_Cu_Querry/CP_M4_B.json,smallest_N_meeting_primary_target_0.005,
Cu_Cu_Rakic-BB,Cu,Cu,Rakic-BB,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0002037404163772,0.0016912510719412,1.0000000000000002,data/models/Cu_Cu_Rakic-BB/CP_M5_B.json,data/model_curves/Cu_Cu_Rakic-BB/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
Cu_Cu_Rakic-LD,Cu,Cu,Rakic-LD,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0002427359907855,0.0019084849557038,1.000000000000001,data/models/Cu_Cu_Rakic-LD/CP_M4_B.json,data/model_curves/Cu_Cu_Rakic-LD/CP_M4_B.json,smallest_N_meeting_primary_target_0.005,
Cu_Cu_Stahrenberg,Cu,Cu,Stahrenberg,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0111341689022124,0.0759290520701655,1.0000000000000004,data/models/Cu_Cu_Stahrenberg/CP_M3_B.json,data/model_curves/Cu_Cu_Stahrenberg/CP_M3_B.json,lowest_RMS_no_primary_target,
Cu_Cu_Werner,Cu,Cu,Werner,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.00701674923081,0.5462593228736288,1.0000000000000002,data/models/Cu_Cu_Werner/CP_M5_B.json,data/model_curves/Cu_Cu_Werner/CP_M5_B.json,lowest_RMS_no_primary_target,
Cu_Cu_Werner-DFT,Cu,Cu,Werner-DFT,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0077813423705672,0.1583760890494549,1.0000000000000002,data/models/Cu_Cu_Werner-DFT/CP_M5_B.json,data/model_curves/Cu_Cu_Werner-DFT/CP_M5_B.json,lowest_RMS_no_primary_target,
Fe2O3_Fe2O3_Querry-e,Fe2O3,Fe2O3,Querry-e,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0027189957295634,0.019256692586032,1.000000000000001,data/models/Fe2O3_Fe2O3_Querry-e/CP_M4_B.json,data/model_curves/Fe2O3_Fe2O3_Querry-e/CP_M4_B.json,smallest_N_meeting_primary_target_0.005,
Fe2O3_Fe2O3_Querry-o,Fe2O3,Fe2O3,Querry-o,True,5.0,CP,CP,CP_M5,CP_M5_A,0.007117283663959,0.0649694253537969,1.000000950081858,data/models/Fe2O3_Fe2O3_Querry-o/CP_M5_A.json,data/model_curves/Fe2O3_Fe2O3_Querry-o/CP_M5_A.json,lowest_RMS_no_primary_target,
Fe3O4_Fe3O4_Querry,Fe3O4,Fe3O4,Querry,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0035800497304154,0.0189074402448264,1.0,data/models/Fe3O4_Fe3O4_Querry/CP_M3_B.json,data/model_curves/Fe3O4_Fe3O4_Querry/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
Fe_Fe_Johnson,Fe,Fe,Johnson,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0240873114943506,0.3925535006839861,1.0000000000000009,data/models/Fe_Fe_Johnson/CP_M5_B.json,data/model_curves/Fe_Fe_Johnson/CP_M5_B.json,lowest_RMS_no_primary_target,
Fe_Fe_Querry,Fe,Fe,Querry,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0047104770159487,0.0805950799948556,1.0,data/models/Fe_Fe_Querry/CP_M2_B.json,data/model_curves/Fe_Fe_Querry/CP_M2_B.json,smallest_N_meeting_primary_target_0.005,
