record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,raw_epsilon_rms,raw_absolute_rms,min_im_eps,G_rho,G_rho_excess,G_class,FDTD_ready,FDTD_status,native_fit_status,selected,model_json,model_curve,fitting_grid_points,raw_database_points,fit_wl_min_um,fit_wl_max_um,n_input_points,source_output_dir,log_file,run_status,error,source_record_key
C_C_Djurisic-e,C,C,Djurisic-e,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0034141042842319,0.0078198483860103,0.0034141042842319,0.0078198483860103,0.020206095844827,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/C_C_Djurisic-e/RP_M3.json,model_curves/C_C_Djurisic-e/RP_M3.json,experimental/C_C_Djurisic-e/fitting_grid_points.json,experimental/C_C_Djurisic-e/raw_database_points.json,0.3,0.5904,147,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/C/VISNIR_ANY_C_Djurisic-e_0.3_0.5904um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/C/VISNIR_ANY_C_Djurisic-e_0.3_0.5904um/run.log,OK,,VISNIR_ANY_C_Djurisic-e_0.3_0.5904um
CdTe_CdTe_Adachi,CdTe,CdTe,Adachi,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0046447488647216,0.0447252627889554,0.0046447488647216,0.0447252627889554,0.2109007236089624,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/CdTe_CdTe_Adachi/RP_M5.json,model_curves/CdTe_CdTe_Adachi/RP_M5.json,experimental/CdTe_CdTe_Adachi/fitting_grid_points.json,experimental/CdTe_CdTe_Adachi/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/CdTe/VISNIR_ANY_CdTe_Adachi_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/CdTe/VISNIR_ANY_CdTe_Adachi_0.3_1.1um/run.log,OK,,VISNIR_ANY_CdTe_Adachi_0.3_1.1um
InSb_InSb_Djurisic,InSb,InSb,Djurisic,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0232460908963332,0.4173989722528614,0.0232460908963332,0.4173989722528614,2.042811209252737,1.0000000000000002,2.220446049250313e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/InSb_InSb_Djurisic/RP_M3.json,model_curves/InSb_InSb_Djurisic/RP_M3.json,experimental/InSb_InSb_Djurisic/fitting_grid_points.json,experimental/InSb_InSb_Djurisic/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/InSb/VISNIR_ANY_InSb_Djurisic_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/InSb/VISNIR_ANY_InSb_Djurisic_0.3_1.1um/run.log,OK,,VISNIR_ANY_InSb_Djurisic_0.3_1.1um
Ni_Ni_Rakic-BB,Ni,Ni,Rakic-BB,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0031652207684628,0.0432990173522141,0.0031652207684628,0.0432990173522141,6.8929123571482895,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ni_Ni_Rakic-BB/RP_M3.json,model_curves/Ni_Ni_Rakic-BB/RP_M3.json,experimental/Ni_Ni_Rakic-BB/fitting_grid_points.json,experimental/Ni_Ni_Rakic-BB/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ni/VISNIR_ANY_Ni_Rakic-BB_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ni/VISNIR_ANY_Ni_Rakic-BB_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ni_Rakic-BB_0.3_1.1um
Si_Si_Franta-500K,Si,Si,Franta-500K,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0041160781252877,0.0966338868036671,0.0041160781252877,0.0966338868036671,0.0424454833124812,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Si_Si_Franta-500K/RP_M3.json,model_curves/Si_Si_Franta-500K/RP_M3.json,experimental/Si_Si_Franta-500K/fitting_grid_points.json,experimental/Si_Si_Franta-500K/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Franta-500K_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Franta-500K_0.3_1.1um/run.log,OK,,VISNIR_ANY_Si_Franta-500K_0.3_1.1um
Si3N4_Si3N4_Beliaev,Si3N4,Si3N4,Beliaev,True,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.0001195873726875,0.0005226626434811,0.0001195873616991,0.0005226625975004,9.999999999999997e-08,1.000000016418983,1.6418983062038706e-08,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/Si3N4_Si3N4_Beliaev/RP_M1.json,model_curves/Si3N4_Si3N4_Beliaev/RP_M1.json,experimental/Si3N4_Si3N4_Beliaev/fitting_grid_points.json,experimental/Si3N4_Si3N4_Beliaev/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si3N4/VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si3N4/VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um/run.log,OK,,VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um
Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750,Ta2O5,Ta2O5,Cheikh-crystalline-3.28-8-750,True,2,RP,RP,RP_M2,VF_RP_MS256_G075_3D_DX5,0.0002481368682195,0.0012689554700346,0.0001383816976605,0.0007178992083294,1.0000000000121101e-07,1.0000004184643692,4.184643691562684e-07,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750/RP_M2.json,model_curves/Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750/RP_M2.json,experimental/Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750/fitting_grid_points.json,experimental/Ta2O5_Ta2O5_Cheikh-crystalline-3.28-8-750/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ta2O5/VISNIR_ANY_Ta2O5_Cheikh-crystalline-3.28-8-750_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ta2O5/VISNIR_ANY_Ta2O5_Cheikh-crystalline-3.28-8-750_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ta2O5_Cheikh-crystalline-3.28-8-750_0.3_1.1um
TiO2_TiO2_Sarkar,TiO2,TiO2,Sarkar,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0005484157881378,0.0029457038082121,0.000394620669353,0.0022864067725093,9.999999999246725e-08,1.000000505639798,5.05639798031865e-07,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/TiO2_TiO2_Sarkar/RP_M3.json,model_curves/TiO2_TiO2_Sarkar/RP_M3.json,experimental/TiO2_TiO2_Sarkar/fitting_grid_points.json,experimental/TiO2_TiO2_Sarkar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/TiO2/VISNIR_ANY_TiO2_Sarkar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/TiO2/VISNIR_ANY_TiO2_Sarkar_0.3_1.1um/run.log,OK,,VISNIR_ANY_TiO2_Sarkar_0.3_1.1um
WS2_WS2_Zotev-e,WS2,WS2,Zotev-e,True,2,RP,RP,RP_M2,VF_RP_MS256_G075_3D_DX5,0.0001164374456342,0.0009530304379192,0.0001164374437479,0.0009530304225704,9.99999999997015e-08,1.0000000348483358,3.484833577260815e-08,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/WS2_WS2_Zotev-e/RP_M2.json,model_curves/WS2_WS2_Zotev-e/RP_M2.json,experimental/WS2_WS2_Zotev-e/fitting_grid_points.json,experimental/WS2_WS2_Zotev-e/raw_database_points.json,0.36,1.0,321,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/WS2/VISNIR_ANY_WS2_Zotev-e_0.36_1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/WS2/VISNIR_ANY_WS2_Zotev-e_0.36_1um/run.log,OK,,VISNIR_ANY_WS2_Zotev-e_0.36_1um
Ag_Ag_Werner-DFT,Ag,Ag,Werner-DFT,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0158601653207274,0.0533950908089762,0.0158601653207274,0.0533950908089762,0.7654522935544451,1.0000000000000004,4.440892098500626e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ag_Ag_Werner-DFT/RP_M5.json,model_curves/Ag_Ag_Werner-DFT/RP_M5.json,experimental/Ag_Ag_Werner-DFT/fitting_grid_points.json,experimental/Ag_Ag_Werner-DFT/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um
