record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,raw_epsilon_rms,raw_absolute_rms,min_im_eps,G_rho,G_rho_excess,G_class,FDTD_ready,FDTD_status,native_fit_status,selected,model_json,model_curve,fitting_grid_points,raw_database_points,fit_wl_min_um,fit_wl_max_um,n_input_points,source_output_dir,log_file,run_status,error,source_record_key
WS2_WS2_Hsu-1L,WS2,WS2,Hsu-1L,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.3163101032210677,5.419663467311954,0.3146306458679174,5.41568370197329,9.999999911469717e-08,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/WS2_WS2_Hsu-1L/RP_M3.json,model_curves/WS2_WS2_Hsu-1L/RP_M3.json,experimental/WS2_WS2_Hsu-1L/fitting_grid_points.json,experimental/WS2_WS2_Hsu-1L/raw_database_points.json,0.397,0.8502,228,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/WS2/VISNIR_ANY_WS2_Hsu-1L_0.397_0.8502um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/WS2/VISNIR_ANY_WS2_Hsu-1L_0.397_0.8502um/run.log,OK,,VISNIR_ANY_WS2_Hsu-1L_0.397_0.8502um
Ag_Ag_Ferrera-600K,Ag,Ag,Ferrera-600K,False,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,0.0257456259532156,0.0871471929020071,0.0257456259532156,0.0871471929020071,0.3543091870678424,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,FDTD_READY,OK,False,models/Ag_Ag_Ferrera-600K/RP_M4.json,model_curves/Ag_Ag_Ferrera-600K/RP_M4.json,experimental/Ag_Ag_Ferrera-600K/fitting_grid_points.json,experimental/Ag_Ag_Ferrera-600K/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um
Ag_Ag_Ferrera-600K,Ag,Ag,Ferrera-600K,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0117990223481159,0.0743675368356883,0.0117990223481159,0.0743675368356883,0.3911006570815778,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ag_Ag_Ferrera-600K/RP_M5.json,model_curves/Ag_Ag_Ferrera-600K/RP_M5.json,experimental/Ag_Ag_Ferrera-600K/fitting_grid_points.json,experimental/Ag_Ag_Ferrera-600K/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um
Au_Au_Rakic-BB,Au,Au,Rakic-BB,True,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.4613478349843621,2.6742482806449552,0.4613478349843621,2.6742482806449552,0.4376804880140583,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Au_Au_Rakic-BB/RP_M1.json,model_curves/Au_Au_Rakic-BB/RP_M1.json,experimental/Au_Au_Rakic-BB/fitting_grid_points.json,experimental/Au_Au_Rakic-BB/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Rakic-BB_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Rakic-BB_0.3_1.1um/run.log,OK,,VISNIR_ANY_Au_Rakic-BB_0.3_1.1um
Fe_Fe_Johnson,Fe,Fe,Johnson,False,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.1398742424980102,2.093947208110375,0.1398742424980102,2.093947208110375,6.176519251395964,1.0,0.0,G_STABLE,True,FDTD_READY,OK,False,models/Fe_Fe_Johnson/RP_M3.json,model_curves/Fe_Fe_Johnson/RP_M3.json,experimental/Fe_Fe_Johnson/fitting_grid_points.json,experimental/Fe_Fe_Johnson/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/run.log,OK,,VISNIR_ANY_Fe_Johnson_0.3_1.1um
Fe_Fe_Johnson,Fe,Fe,Johnson,True,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,0.1186508161253475,1.788248591164748,0.1186508161253475,1.788248591164748,6.351178166212166,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Fe_Fe_Johnson/RP_M4.json,model_curves/Fe_Fe_Johnson/RP_M4.json,experimental/Fe_Fe_Johnson/fitting_grid_points.json,experimental/Fe_Fe_Johnson/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/run.log,OK,,VISNIR_ANY_Fe_Johnson_0.3_1.1um
Fe_Fe_Johnson,Fe,Fe,Johnson,False,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.1229129994920461,1.8168601543631144,0.1229129994920461,1.8168601543631144,6.4964815336776205,1.0000000000000029,2.886579864025407e-15,G_STABLE,True,FDTD_READY,OK,False,models/Fe_Fe_Johnson/RP_M5.json,model_curves/Fe_Fe_Johnson/RP_M5.json,experimental/Fe_Fe_Johnson/fitting_grid_points.json,experimental/Fe_Fe_Johnson/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Fe/VISNIR_ANY_Fe_Johnson_0.3_1.1um/run.log,OK,,VISNIR_ANY_Fe_Johnson_0.3_1.1um
Mo_Mo_Querry,Mo,Mo,Querry,False,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.4232323109712979,15.54515282894677,0.4232323109712979,15.54515282894677,13.378272611813186,1.0,0.0,G_STABLE,True,FDTD_READY,OK,False,models/Mo_Mo_Querry/RP_M1.json,model_curves/Mo_Mo_Querry/RP_M1.json,experimental/Mo_Mo_Querry/fitting_grid_points.json,experimental/Mo_Mo_Querry/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Mo/VISNIR_ANY_Mo_Querry_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Mo/VISNIR_ANY_Mo_Querry_0.3_1.1um/run.log,OK,,VISNIR_ANY_Mo_Querry_0.3_1.1um
Mo_Mo_Querry,Mo,Mo,Querry,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0024299816644239,0.0885996988252507,0.0024299816644239,0.0885996988252507,31.612109625621635,1.0000001047533815,1.0475338152460269e-07,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Mo_Mo_Querry/RP_M5.json,model_curves/Mo_Mo_Querry/RP_M5.json,experimental/Mo_Mo_Querry/fitting_grid_points.json,experimental/Mo_Mo_Querry/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Mo/VISNIR_ANY_Mo_Querry_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Mo/VISNIR_ANY_Mo_Querry_0.3_1.1um/run.log,OK,,VISNIR_ANY_Mo_Querry_0.3_1.1um
MoS2_MoS2_Song-8L,MoS2,MoS2,Song-8L,False,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.1615813352742271,3.0500683233019847,0.1615813352742271,3.0500683233019847,0.924971628883905,1.0000000000000002,2.220446049250313e-16,G_STABLE,True,FDTD_READY,OK,False,models/MoS2_MoS2_Song-8L/RP_M1.json,model_curves/MoS2_MoS2_Song-8L/RP_M1.json,experimental/MoS2_MoS2_Song-8L/fitting_grid_points.json,experimental/MoS2_MoS2_Song-8L/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Song-8L_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Song-8L_0.3_1.1um/run.log,OK,,VISNIR_ANY_MoS2_Song-8L_0.3_1.1um
