record_key,N,family,branch_key,internal_model_code,public_model_code,FDTD_ready,FDTD_status,source_model_json,source_model_curve,website_model_json,website_model_curve,model_json_staged_or_available,model_curve_staged_or_available,curve_status,issue
Si_Si_Franta-100K,4,SemiCP,SCP,CP_M4_B,CP_M4,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-100K\SCP_M4.json,,data/models/Si_Si_Franta-100K/CP_M4_B.json,data/model_curves/Si_Si_Franta-100K/CP_M4_B.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-100K,5,RP,RP,RP_M5,RP_M5,False,NOT_FDTD_READY_G_UNSTABLE,,,,,False,False,not_attempted,
Si_Si_Franta-100K,5,CP,CP,CP_M5_A,CP_M5,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-100K\CP_M5.json,,data/models/Si_Si_Franta-100K/CP_M5_A.json,data/model_curves/Si_Si_Franta-100K/CP_M5_A.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-100K,5,SemiCP,SCP,CP_M5_B,CP_M5,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-100K\SCP_M5.json,,data/models/Si_Si_Franta-100K/CP_M5_B.json,data/model_curves/Si_Si_Franta-100K/CP_M5_B.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,1,RP,RP,RP_M1,RP_M1,True,NOT_FDTD_READY_G_UNSTABLE,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\source_all_json\Si_Si_Franta-10K\rp_selected_tidy3d_pole_residue.json,,data/models/Si_Si_Franta-10K/RP_M1.json,data/model_curves/Si_Si_Franta-10K/RP_M1.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,1,CP,CP,CP_M1_A,CP_M1,True,NOT_FDTD_READY_G_UNSTABLE,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\source_all_json\Si_Si_Franta-10K\cp_analytical_selected_tidy3d_pole_residue.json,,data/models/Si_Si_Franta-10K/CP_M1_A.json,data/model_curves/Si_Si_Franta-10K/CP_M1_A.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,1,SemiCP,SCP,CP_M1_B,CP_M1,True,NOT_FDTD_READY_G_UNSTABLE,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-10K\SCP_M3.json,,data/models/Si_Si_Franta-10K/CP_M1_B.json,data/model_curves/Si_Si_Franta-10K/CP_M1_B.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,2,RP,RP,RP_M2,RP_M2,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-10K\RP_M2.json,,data/models/Si_Si_Franta-10K/RP_M2.json,data/model_curves/Si_Si_Franta-10K/RP_M2.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,2,CP,CP,CP_M2_A,CP_M2,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-10K\CP_M2.json,,data/models/Si_Si_Franta-10K/CP_M2_A.json,data/model_curves/Si_Si_Franta-10K/CP_M2_A.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,2,SemiCP,SCP,CP_M2_B,CP_M2,False,NOT_FDTD_READY_G_UNSTABLE,,,,,False,False,not_attempted,
Si_Si_Franta-10K,3,RP,RP,RP_M3,RP_M3,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-10K\RP_M3.json,,data/models/Si_Si_Franta-10K/RP_M3.json,data/model_curves/Si_Si_Franta-10K/RP_M3.json,True,True,generated_from_model_json_and_fitting_grid,
Si_Si_Franta-10K,3,CP,CP,CP_M3_A,CP_M3,True,FDTD_READY,D:\02_Academic_Research\11_Ultra_Boardband_CP_Fitting\08_Refractive_index_No_sigma_V2\N1_N5_RP_CP\Data_range_300_1100\00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY\stable_model_json_by_N\Si_Si_Franta-10K\CP_M3.json,,data/models/Si_Si_Franta-10K/CP_M3_A.json,data/model_curves/Si_Si_Franta-10K/CP_M3_A.json,True,True,generated_from_model_json_and_fitting_grid,
