record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Ag_Ag_Ferrera-404K,Ag,metal,Ag,Ferrera-404K,3,CP,CP,0.1118278040543312,3.5993412598142456,1.0000000000000009,poor,data/models/Ag_Ag_Ferrera-404K/CP_M3.json
Ag_Ag_Ferrera-404K,Ag,metal,Ag,Ferrera-404K,4,CP,CP,0.0643625097428109,1.8441805675304188,1.0,poor,data/models/Ag_Ag_Ferrera-404K/CP_M4.json
Ag_Ag_Ferrera-404K,Ag,metal,Ag,Ferrera-404K,5,CP,CP,0.0451556690358397,1.3646379066762593,1.0000000000000004,warning,data/models/Ag_Ag_Ferrera-404K/CP_M5.json
Ag_Ag_Ferrera-501K,Ag,metal,Ag,Ferrera-501K,1,CP,SemiCP,0.1917393316997737,2.869808223941724,1.0000001927311597,poor,data/models/Ag_Ag_Ferrera-501K/SemiCP_M1.json
Ag_Ag_Ferrera-501K,Ag,metal,Ag,Ferrera-501K,2,CP,SemiCP,0.021977405941958,0.3747194766390178,1.0000002864370678,warning,data/models/Ag_Ag_Ferrera-501K/SemiCP_M2.json
Ag_Ag_Ferrera-501K,Ag,metal,Ag,Ferrera-501K,3,CP,CP,0.0943522167806566,3.185387397773975,1.0000000000000009,poor,data/models/Ag_Ag_Ferrera-501K/CP_M3.json
Ag_Ag_Ferrera-501K,Ag,metal,Ag,Ferrera-501K,4,CP,CP,0.0529372170289414,1.45694467654685,1.0000000000000009,poor,data/models/Ag_Ag_Ferrera-501K/CP_M4.json
Ag_Ag_Ferrera-501K,Ag,metal,Ag,Ferrera-501K,5,CP,CP,0.0386854771981394,1.148919501758141,1.0000000000000009,warning,data/models/Ag_Ag_Ferrera-501K/CP_M5.json
Ag_Ag_Ferrera-600K,Ag,metal,Ag,Ferrera-600K,1,CP,SemiCP,0.1712249845153212,2.37546202832538,1.00000016264305,poor,data/models/Ag_Ag_Ferrera-600K/SemiCP_M1.json
Ag_Ag_Ferrera-600K,Ag,metal,Ag,Ferrera-600K,2,CP,SemiCP,0.0171869793206499,0.1978239540168866,1.0000000000000002,warning,data/models/Ag_Ag_Ferrera-600K/SemiCP_M2.json
