record_id,material_query,book,page,record_index,record_label,material_class,final_family,final_specific_model,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target
ZnO|ZnO|Querry|1,ZnO,ZnO,Querry,1,ZnO / ZnO / Querry / rec1,TCO_or_semiconducting_oxide,CP,SemiCP,3.0,0.044675797087864,0.109039247993731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-6L|10,MoS2,MoS2,Song-6L,10,MoS2 / MoS2 / Song-6L / rec10,chalcogenide_or_2D,RP,RP,5.0,0.0295636837214278,0.5788570443869854,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
As2Se3|As2Se3|Joseph-400nm|1,As2Se3,As2Se3,Joseph-400nm,1,As2Se3 / As2Se3 / Joseph-400nm / rec1,chalcogenide_or_2D,CP,SemiCP,3.0,0.028813863488475,0.3253130711463287,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2Se3_As2Se3_Joseph-400nm/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Ullberg|13,MoS2,MoS2,Ullberg,13,MoS2 / MoS2 / Ullberg / rec13,chalcogenide_or_2D,CP,AnalyticalCP,4.0,0.0286413970540419,0.5736484508408319,1.0000001556655644,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Ullberg/CP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-bulk|12,MoS2,MoS2,Song-bulk,12,MoS2 / MoS2 / Song-bulk / rec12,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0273264629369757,0.5564406300164321,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-bulk/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-10L|5,MoS2,MoS2,Song-10L,5,MoS2 / MoS2 / Song-10L / rec5,chalcogenide_or_2D,CP,SemiCP,4.0,0.0270387616444864,0.4461660895844332,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-10L/SCP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoSe2|MoSe2|Beal|1,MoSe2,MoSe2,Beal,1,MoSe2 / MoSe2 / Beal / rec1,chalcogenide_or_2D,CP,SemiCP,5.0,0.0266008229873102,0.6678232685523375,1.000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Beal/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Islam-fewL|3,MoS2,MoS2,Islam-fewL,3,MoS2 / MoS2 / Islam-fewL / rec3,chalcogenide_or_2D,CP,SemiCP,5.0,0.022954495336057,0.221307189365178,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Islam-fewL/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
WSe2|WSe2|Munkhbat-o|6,WSe2,WSe2,Munkhbat-o,6,WSe2 / WSe2 / Munkhbat-o / rec6,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0211081922844363,0.4752841892201466,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Munkhbat-o/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoSe2|MoSe2|Munkhbat-o|3,MoSe2,MoSe2,Munkhbat-o,3,MoSe2 / MoSe2 / Munkhbat-o / rec3,chalcogenide_or_2D,RP,RP,5.0,0.020726083668809,0.5039483455486249,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Munkhbat-o|16,MoS2,MoS2,Munkhbat-o,16,MoS2 / MoS2 / Munkhbat-o / rec16,chalcogenide_or_2D,RP,RP,5.0,0.0201807840863301,0.4024675414933611,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-3L|8,MoS2,MoS2,Song-3L,8,MoS2 / MoS2 / Song-3L / rec8,chalcogenide_or_2D,CP,SemiCP,5.0,0.0178740928318083,0.3083708294962243,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-3L/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-4L|9,MoS2,MoS2,Song-4L,9,MoS2 / MoS2 / Song-4L / rec9,chalcogenide_or_2D,CP,SemiCP,5.0,0.0170175994015248,0.2628955496447017,1.0000000000000029,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-4L/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-8L|11,MoS2,MoS2,Song-8L,11,MoS2 / MoS2 / Song-8L / rec11,chalcogenide_or_2D,CP,SemiCP,5.0,0.0152090631480601,0.2838576929481975,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-8L/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoSe2|MoSe2|Pruszynska-Karbownik-o|2,MoSe2,MoSe2,Pruszynska-Karbownik-o,2,MoSe2 / MoSe2 / Pruszynska-Karbownik-o / rec2,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0123011906623464,0.2634929984468595,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Pruszynska-Karbownik-o/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Au|Au|Yakubovsky-4nm|17,Au,Au,Yakubovsky-4nm,17,Au / Au / Yakubovsky-4nm / rec17,metal,CP,SemiCP,5.0,0.0640063860199064,0.9562775920183116,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Yakubovsky-4nm/SCP_M5.json,lowest_RMS_no_primary_target,poor_fit,False,False
V|V|Johnson|3,V,V,Johnson,3,V / V / Johnson / rec3,metal,CP,SemiCP,5.0,0.0551959967815854,1.1774762195101236,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/V_V_Johnson/SCP_M5.json,lowest_RMS_no_primary_target,poor_fit,False,False
