material_class,material_query,book,page,record_index,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,4,0.0551152268279925,1.3951110287687307,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M4.json,0.083142344933204,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/CP_M4.json,-0.17855067001169903,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,5,0.020726083668809,0.5039483455486249,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M5.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,WSe2,WSe2,Gu-1L,1,3,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,WSe2,WSe2,Gu-2L,2,4,0.0539145373110866,1.1441498534773338,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M4.json,0.1164450910326511,AnalyticalCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M4.json,-0.33441530224354754,both_usable_RP_lower_RMS
chalcogenide_or_2D,WSe2,WSe2,Gu-2L,2,5,0.0337067503769461,0.5775935932217946,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M5.json,0.1128503279853755,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M5.json,-0.5247859408535274,both_usable_RP_lower_RMS
chalcogenide_or_2D,WSe2,WSe2,Gu-5L,5,3,0.0782950697834055,1.8606688689398807,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/RP_M3.json,0.1054895786773383,SemiCP,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/SCP_M3.json,-0.12947514224311446,both_usable_RP_lower_RMS
chalcogenide_or_2D,WSe2,WSe2,Munkhbat-o,6,4,0.0264091771924031,0.5977036729527155,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Munkhbat-o/RP_M4.json,0.1056471979544297,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Munkhbat-o/CP_M4.json,-0.6021031124076527,both_usable_RP_lower_RMS
fluoride,MgF2,MgF2,Rodriguez-de Marcos,2,3,7.689481863580996e-07,1.5606890345914886e-06,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MgF2_MgF2_Rodriguez-de_Marcos/RP_M3.json,,,,,,RP_usable_CP_unusable
high_k_oxide,Nb2O5,Nb2O5,Franta,1,4,0.0006960236170439,0.003910309207361,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Nb2O5_Nb2O5_Franta/RP_M4.json,0.0007270578166903,SemiCP,1.0000000728963236,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Nb2O5_Nb2O5_Franta/SCP_M4.json,-0.01894497188533669,both_usable_RP_lower_RMS
high_k_oxide,Ta2O5,Ta2O5,Cheikh-amorphous-3.28-12-25,4,5,2.044272314646864e-05,0.0001252291687516,1.000000013737823,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-12-25/RP_M5.json,3.674337354427919e-05,SemiCP,1.0000000201294337,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-12-25/SCP_M5.json,-0.2546402808994585,both_usable_RP_lower_RMS
